Rent,SurfaceArea,NumRooms,Address,RentPerArea,RentPerRoom,AreaPerRoom,ZipCode,City
4150,104,2.5,"Rue de l'Athénée 38, 1206 Geneva",39.90384615,1660,41.6,1206,Geneva
1250,26,1,"Rue de la Dôle 15, 1203 Geneva",48.07692308,1250,26,1203,Geneva
4000,90,2.5,"Rue de l'Athénée 36, 1206 Geneva",44.44444444,1600,36,1206,Geneva
3100,82,4,"Rue Liotard, 1202 Geneva",37.80487805,775,20.5,1202,Geneva
2280,56,3,"Rue de la Servette 31, 1201 Geneva",40.71428571,760,18.66666667,1201,Geneva
2310,55,3,"Rue de la Servette 31, 1201 Geneva",42,770,18.33333333,1201,Geneva
4500,120,6,"Quai du Seujet, 1201 Geneva",37.5,750,20,1201,Geneva
2400,70,4,"Rue de Vermont, 1202 Geneva",34.28571429,600,17.5,1202,Geneva
2590,77,3.5,"Rue des Charmilles 17, 1203 Geneva",33.63636364,740,22,1203,Geneva
3500,80,3,"Pl. de la Métropole, 1204 Geneva",43.75,1166.666667,26.66666667,1204,Geneva
2091,55,3,"Av. de Sainte-Clotilde 1, 1205 Geneva",38.01818182,697,18.33333333,1205,Geneva
3490,90,3,"Bd des Philosophes 24, 1205 Geneva",38.77777778,1163.333333,30,1205,Geneva
6035,180,6,1206 Geneva,33.52777778,1005.833333,30,1206,Geneva
2400,50,3,"Rue Zurlinden, 1207 Geneva",48,800,16.66666667,1207,Geneva
1320,31,2,"Rte de Malagnou 27, 1208 Geneva",42.58064516,660,15.5,1208,Geneva
2990,80,4,"Avenue Théodore-Weber 36, 1208 Geneva",37.375,747.5,20,1208,Geneva
4700,150,7,"Chem. Rieu 4, 1208 Geneva",31.33333333,671.4285714,21.42857143,1208,Geneva
3250,72,3,"Chem. des Crêts, 1209 Geneva",45.13888889,1083.333333,24,1209,Geneva
2450,65,3,"Avenue Giuseppe Motta 16, 1202 Geneva",37.69230769,816.6666667,21.66666667,1202,Geneva
2100,81,4.5,"Avenue d' Aïre 46, 1203 Geneva",25.92592593,466.6666667,18,1203,Geneva
2490,72,4,"Rue des Pâquis 53, 1201 GENEVE",34.58333333,622.5,18,1201,Geneva
6200,192,6,"Rue de Saint-Jean 90, 1201 GENEVE",32.29166667,1033.333333,32,1201,Geneva
1720,54,3,"Rue de la Prairie 19, 1202 GENEVE",31.85185185,573.3333333,18,1202,Geneva
1760,46,2.5,"Rue Antoine-Carteret 38, 1202 GENEVE",38.26086957,704,18.4,1202,Geneva
2800,90,5,"RUE DE MONTBRILLANT 83, 1202 GENEVE",31.11111111,560,18,1202,Geneva
2990,101,4,"Rue de Lausanne 109, 1202 GENEVE",29.6039604,747.5,25.25,1202,Geneva
3100,85,2.5,"Place du Bourg-de-Four 36, 1204 GENEVE",36.47058824,1240,34,1204,Geneva
1655,75,4,"Avenue Sainte-Clotilde 17, 1205 GENEVE",22.06666667,413.75,18.75,1205,Geneva
